case_id,n_reworks,n_steps,model_type,supplier_id,shift,total_duration,is_late,delay_risk
CAR001655,0,9,0,2,0,135.91,1,1.0
CAR001135,0,9,0,2,0,146.01,1,1.0
CAR004078,0,9,0,2,0,137.28,1,1.0
CAR003618,1,11,1,3,2,152.58,1,1.0
CAR001790,1,11,0,2,0,139.21,1,1.0
CAR001170,1,11,3,2,0,152.11,1,1.0
CAR003605,1,11,2,2,1,170.74,1,1.0
CAR001166,1,11,2,2,0,156.57,1,1.0
CAR004099,1,11,0,2,0,158.12,1,1.0
CAR004121,1,11,0,2,0,181.22,1,1.0
CAR004128,0,9,0,2,0,156.62,1,1.0
CAR001145,0,9,0,2,0,156.9,1,1.0
CAR004129,1,11,1,0,1,105.6,0,1.0
CAR001829,1,11,2,2,0,175.28,1,1.0
CAR004060,1,11,2,2,1,161.56,1,1.0
CAR001123,1,11,1,2,1,149.01000000000002,1,1.0
CAR001830,1,11,1,2,0,164.35,1,1.0
CAR004136,1,11,1,3,0,149.54,1,1.0
CAR001842,1,11,2,2,1,159.24,1,1.0
CAR001107,1,11,3,2,1,153.29999999999998,1,1.0
CAR004168,1,11,0,1,2,151.84,1,1.0
CAR001100,0,9,0,2,0,137.76,1,1.0
CAR003584,0,9,0,2,0,122.74,1,1.0
CAR003573,1,11,3,2,1,186.51999999999998,1,1.0
CAR001858,1,11,1,2,2,151.32,1,1.0
CAR001090,0,9,0,2,0,134.75,1,1.0
CAR001772,1,11,1,0,0,162.98,1,1.0
CAR003624,1,11,1,1,0,147.38,1,1.0
CAR004018,0,9,0,2,0,176.82999999999998,1,1.0
CAR004028,0,9,0,2,0,140.1,1,1.0
CAR001278,1,11,3,3,2,122.73,1,1.0
CAR001267,1,11,1,1,1,155.17000000000002,1,1.0
CAR001665,1,11,0,1,2,142.68,1,1.0
CAR003701,1,11,2,2,0,167.77,1,1.0
CAR003687,1,11,1,2,1,194.97,1,1.0
CAR003661,1,11,1,0,1,144.13,1,1.0
CAR001714,1,11,1,1,1,131.08,1,1.0
CAR001241,1,11,1,3,2,125.42999999999999,1,1.0
CAR001235,0,9,0,2,0,132.85,1,1.0
CAR003654,0,9,0,2,0,131.55,1,1.0
CAR001230,0,9,0,2,0,138.17000000000002,1,1.0
CAR004030,1,11,1,3,0,140.77,1,1.0
CAR001192,0,9,0,2,0,146.29999999999998,1,1.0
CAR003639,1,11,1,3,0,177.34,1,1.0
CAR004040,1,11,1,2,2,135.03,1,1.0
CAR001218,1,11,1,0,0,157.06,1,1.0
CAR001726,1,11,0,2,0,160.55,1,1.0
CAR001736,1,11,3,2,1,166.79,1,1.0
CAR001749,1,11,1,2,0,149.71,1,1.0
CAR001750,1,11,1,0,0,126.96,1,1.0
CAR004056,1,11,3,2,0,170.64000000000001,1,1.0
CAR001751,1,11,0,1,2,125.91,1,1.0
CAR001198,1,11,2,2,1,173.52,1,1.0
CAR001196,1,11,1,3,2,158.32999999999998,1,1.0
CAR002200,1,11,1,1,1,121.62,1,1.0
CAR003347,1,11,1,0,0,143.37,1,1.0
CAR000623,1,11,0,2,1,181.17,1,1.0
CAR000244,1,11,0,2,2,204.16,1,1.0
CAR002443,1,11,1,1,1,170.91,1,1.0
CAR004795,0,9,0,2,0,156.81,1,1.0
CAR000265,0,9,0,2,0,144.31,1,1.0
CAR003024,1,11,1,0,1,140.03,1,1.0
CAR000259,1,11,1,0,1,143.52,1,1.0
CAR000011,1,11,1,1,0,156.91,1,1.0
CAR000254,1,11,1,0,0,150.95,1,1.0
CAR003003,1,11,1,0,1,173.57,1,1.0
CAR000252,1,11,2,3,1,165.19,1,1.0
CAR004808,1,11,3,2,0,144.76,1,1.0
CAR002486,1,11,2,2,1,193.39,1,1.0
CAR002433,0,9,0,2,0,149.78,1,1.0
CAR000234,1,11,1,1,1,123.72,1,1.0
CAR002999,0,9,0,2,0,190.25,1,1.0
CAR000230,1,11,3,2,0,133.54,1,1.0
CAR002998,1,11,2,2,1,146.09,1,1.0
CAR002507,0,9,0,2,0,158.03,1,1.0
CAR000211,1,11,0,2,1,195.04,1,1.0
CAR002521,1,11,1,2,1,142.68,1,1.0
CAR000204,0,9,0,2,0,151.25,1,1.0
CAR002997,1,11,1,1,0,170.1,1,1.0
CAR000199,1,11,0,2,1,166.43,1,1.0
CAR004792,1,11,0,2,2,199.78,1,1.0
CAR003034,1,11,3,2,1,160.38,1,1.0
CAR004712,0,9,0,2,0,153.2,1,1.0
CAR004745,1,11,2,3,1,152.14000000000001,1,1.0
CAR004721,0,9,0,2,0,146.68,1,1.0
CAR003068,1,11,1,0,1,166.35,1,1.0
CAR000384,1,11,1,2,1,152.64000000000001,1,1.0
CAR000381,1,11,1,1,1,184.7,1,1.0
CAR003059,1,11,1,1,0,147.61,1,1.0
CAR002390,1,11,1,1,0,125.19,1,1.0
CAR002400,1,11,2,2,0,151.28,1,1.0
CAR003049,0,9,0,2,0,168.28,1,1.0
CAR004736,1,11,1,0,1,115.66,0,1.0
CAR002405,1,11,0,1,2,133.32999999999998,1,1.0
CAR000329,1,11,1,3,2,200.32999999999998,1,1.0
CAR000280,1,11,3,3,2,136.53,1,1.0
CAR000326,1,11,1,2,0,205.29,1,1.0
CAR003036,1,11,0,2,1,154.51,1,1.0
CAR002419,0,9,0,2,0,125.89,1,1.0
CAR000317,1,11,1,0,1,193.61,1,1.0
CAR004778,1,11,1,1,0,120.89,1,1.0
CAR004783,1,11,1,1,0,151.1,1,1.0
CAR002422,1,11,1,2,2,172.48,1,1.0
CAR000298,1,11,1,3,2,144.82,1,1.0
CAR002203,1,11,2,3,1,146.43,1,1.0
CAR000289,1,11,1,0,0,121.1,1,1.0
CAR002968,1,11,2,3,1,131.45000000000002,1,1.0
CAR004850,1,11,3,2,1,163.89,1,1.0
CAR000196,1,11,1,1,0,108.14999999999999,0,1.0
CAR002708,1,11,0,1,2,153.45,1,1.0
CAR002653,1,11,1,3,0,147.41,1,1.0
CAR002842,0,9,0,2,0,129.26,1,1.0
CAR000079,1,11,1,0,0,174.32,1,1.0
CAR002669,1,11,0,2,1,166.99,1,1.0
CAR002838,1,11,3,3,2,123.73,1,1.0
CAR002675,0,9,0,2,0,167.28,1,1.0
CAR000069,1,11,1,0,0,137.37,1,1.0
CAR004945,1,11,0,2,0,150.67,1,1.0
CAR004946,1,11,3,2,1,175.53,1,1.0
CAR002820,1,11,0,2,1,126.34,1,1.0
CAR004977,1,11,2,3,1,141.94,1,1.0
CAR002546,1,11,3,3,2,135.07,1,1.0
CAR002715,0,9,0,2,0,156.88,1,1.0
CAR004978,1,11,1,2,1,184.74,1,1.0
CAR004983,0,9,0,2,0,176.97,1,1.0
CAR000030,1,11,2,2,2,174.0,1,1.0
CAR002724,1,11,2,3,1,147.59,1,1.0
CAR004989,1,11,3,2,1,172.82,1,1.0
CAR002726,0,9,0,2,0,152.38,1,1.0
CAR002787,1,11,1,0,0,161.09,1,1.0
CAR002785,1,11,2,2,0,171.56,1,1.0
CAR004991,1,11,3,2,0,196.44,1,1.0
CAR004926,1,11,1,1,0,151.43,1,1.0
CAR002648,1,11,1,0,0,169.17000000000002,1,1.0
CAR000092,1,11,0,2,0,168.68,1,1.0
CAR002638,0,9,0,2,0,145.6,1,1.0
CAR000193,1,11,2,2,0,186.41,1,1.0
CAR000191,1,11,2,2,0,168.63,1,1.0
CAR002931,1,11,1,0,1,145.83,1,1.0
CAR002930,1,11,0,2,0,159.71,1,1.0
CAR002926,1,11,0,2,0,151.13,1,1.0
CAR004874,0,9,0,2,0,154.32999999999998,1,1.0
CAR002599,1,11,2,2,2,199.12,1,1.0
CAR004879,0,9,0,2,0,175.65,1,1.0
CAR002912,1,11,1,3,2,144.19,1,1.0
CAR000150,1,11,0,1,2,187.98,1,1.0
CAR002614,1,11,1,1,0,162.19,1,1.0
CAR002617,1,11,1,2,2,179.76,1,1.0
CAR000132,1,11,3,2,1,125.28,1,1.0
CAR002618,0,9,0,2,0,123.52,1,1.0
CAR002890,0,9,0,2,0,146.86,1,1.0
CAR004895,1,11,1,0,0,158.57,1,1.0
CAR004911,1,11,1,0,1,130.3,1,1.0
CAR002630,0,9,0,2,0,158.07,1,1.0
CAR004914,1,11,1,2,0,170.07,1,1.0
CAR002633,1,11,2,3,1,130.75,1,1.0
CAR002635,1,11,1,0,1,149.61,1,1.0
CAR003082,1,11,2,2,1,158.73,1,1.0
CAR000292,1,11,0,1,2,140.51000000000002,1,1.0
CAR003094,1,11,0,2,2,155.42999999999998,1,1.0
CAR002278,1,11,1,0,1,136.38,1,1.0
CAR002271,0,9,0,2,0,157.26000000000002,1,1.0
CAR003208,1,11,3,3,2,143.07,1,1.0
CAR004633,1,11,3,2,0,168.7,1,1.0
CAR004637,0,9,0,2,0,155.18,1,1.0
CAR000511,1,11,3,2,1,168.71,1,1.0
CAR003207,1,11,1,3,2,151.44,1,1.0
CAR000502,1,11,1,1,1,148.78,1,1.0
CAR004639,1,11,3,2,1,193.06,1,1.0
CAR000494,0,9,0,2,0,142.95000000000002,1,1.0
CAR000491,1,11,3,2,0,167.4,1,1.0
CAR000481,1,11,3,2,1,145.88,1,1.0
CAR000448,1,11,1,3,0,159.93,1,1.0
CAR003191,1,11,3,2,1,199.2,1,1.0
CAR002300,1,11,0,2,0,160.43,1,1.0
CAR004656,1,11,1,3,0,154.3,1,1.0
CAR002304,1,11,1,1,0,141.54,1,1.0
CAR002305,1,11,3,2,1,198.74,1,1.0
CAR002306,0,9,0,2,0,150.08,1,1.0
CAR002311,0,9,0,2,0,158.88,1,1.0
CAR004665,1,11,2,2,2,134.17000000000002,1,1.0
CAR004666,0,9,0,2,0,145.37,1,1.0
CAR000453,1,11,1,0,0,140.77,1,1.0
CAR002260,1,11,3,2,0,176.36,1,1.0
CAR004627,0,9,0,2,0,155.01,1,1.0
CAR002250,1,11,3,2,0,148.77,1,1.0
CAR004604,1,11,1,3,2,139.16,1,1.0
CAR000617,1,11,2,2,0,135.71,1,1.0
CAR004567,1,11,1,0,0,172.28,1,1.0
CAR000611,1,11,1,3,0,154.67000000000002,1,1.0
CAR004568,0,9,0,2,0,154.35,1,1.0
CAR002204,0,9,0,2,0,147.47,1,1.0
CAR002205,1,11,1,0,0,153.18,1,1.0
CAR003284,1,11,3,2,1,182.39,1,1.0
CAR000591,1,11,3,2,0,171.28,1,1.0
CAR004575,1,11,2,2,0,203.92,1,1.0
CAR000580,1,11,1,2,2,157.54,1,1.0
CAR000578,0,9,0,2,0,145.83,1,1.0
CAR002229,1,11,1,1,0,120.67999999999999,1,1.0
CAR000563,0,9,0,2,0,140.5,1,1.0
CAR004576,1,11,2,3,1,150.69,1,1.0
CAR002234,1,11,1,2,2,145.94,1,1.0
CAR004592,1,11,3,2,1,143.23000000000002,1,1.0
CAR000549,1,11,0,2,1,125.46,1,1.0
CAR003237,1,11,0,2,1,136.42000000000002,1,1.0
CAR000547,1,11,1,1,1,136.91,1,1.0
CAR003235,0,9,0,2,0,154.45000000000002,1,1.0
CAR002244,0,9,0,2,0,122.11,1,1.0
CAR002324,1,11,2,2,0,125.23,1,1.0
CAR003855,1,11,2,2,1,154.76,1,1.0
CAR004707,1,11,1,3,0,154.54999999999998,1,1.0
CAR000406,1,11,1,0,0,166.25,1,1.0
CAR004683,1,11,1,1,0,146.26,1,1.0
CAR003099,1,11,1,1,0,135.71,1,1.0
CAR004671,1,11,1,1,0,130.72,1,1.0
CAR000402,0,9,0,2,0,161.57,1,1.0
CAR000405,1,11,1,2,0,157.43,1,1.0
CAR004702,0,9,0,2,0,141.39,1,1.0
CAR002341,1,11,0,1,2,154.23,1,1.0
CAR000411,0,9,0,2,0,133.19,1,1.0
CAR002357,1,11,1,1,1,119.9,0,1.0
CAR003141,1,11,3,2,0,125.06,1,1.0
CAR002338,1,11,2,2,2,181.35999999999999,1,1.0
CAR000720,0,9,3,2,2,150.16,1,0.9100313115986381
CAR002459,0,9,3,2,2,124.39999999999999,1,0.9100313115986381
CAR003794,0,9,3,2,2,157.02,1,0.9100313115986381
CAR003797,0,9,3,2,2,128.07,1,0.9100313115986381
CAR003117,0,9,3,2,2,144.49,1,0.9100313115986381
CAR001588,0,9,3,2,2,180.7,1,0.9100313115986381
CAR001619,0,9,3,2,2,154.68,1,0.9100313115986381
CAR000112,0,9,3,2,2,174.55,1,0.9100313115986381
CAR002243,0,9,3,2,2,136.92,1,0.9100313115986381
CAR002629,0,9,3,2,2,148.45,1,0.9100313115986381
CAR002889,0,9,3,2,2,167.54999999999998,1,0.9100313115986381
CAR001023,0,9,3,2,2,127.96,1,0.9100313115986381
CAR000124,0,9,3,2,2,133.76,1,0.9100313115986381
CAR000138,0,9,3,2,2,134.85,1,0.9100313115986381
CAR000139,0,9,3,2,2,132.39000000000001,1,0.9100313115986381
CAR000527,0,9,3,2,2,141.70000000000002,1,0.9100313115986381
CAR001359,0,9,3,2,2,163.97,1,0.9100313115986381
CAR001966,0,9,3,2,2,155.39,1,0.9100313115986381
CAR004322,0,9,3,2,2,191.82,1,0.9100313115986381
CAR000089,0,9,3,2,2,158.76,1,0.9100313115986381
CAR001953,0,9,3,2,2,133.62,1,0.9100313115986381
CAR000614,0,9,3,2,2,169.03,1,0.9100313115986381
CAR004986,0,9,3,2,2,156.98000000000002,1,0.9100313115986381
CAR001460,0,9,3,2,2,111.51,0,0.9100313115986381
CAR004301,0,9,3,2,2,164.08,1,0.9100313115986381
CAR003886,0,9,3,2,2,132.15,1,0.9100313115986381
CAR002210,0,9,3,2,2,138.06,1,0.9100313115986381
CAR001527,0,9,3,2,2,151.74,1,0.9100313115986381
CAR002802,0,9,3,2,2,158.11,1,0.9100313115986381
CAR002385,0,9,3,2,2,150.27,1,0.9100313115986381
CAR002700,0,9,3,2,2,161.23999999999998,1,0.9100313115986381
CAR002826,0,9,3,2,2,153.19,1,0.9100313115986381
CAR004964,0,9,3,2,2,129.03,1,0.9100313115986381
CAR001941,0,9,3,2,2,138.56,1,0.9100313115986381
CAR001964,0,9,3,2,2,121.99,1,0.9100313115986381
CAR004929,0,9,3,2,2,136.04,1,0.9100313115986381
CAR000077,0,9,3,2,2,187.23999999999998,1,0.9100313115986381
CAR000693,0,9,3,2,2,167.55,1,0.9100313115986381
CAR002881,0,9,3,2,2,129.95,1,0.9100313115986381
CAR001372,0,9,3,2,2,146.15,1,0.9100313115986381
CAR002612,0,9,3,2,2,148.92000000000002,1,0.9100313115986381
CAR004882,0,9,3,2,2,133.87,1,0.9100313115986381
CAR000535,0,9,3,2,2,125.13,1,0.9100313115986381
CAR003200,0,9,3,2,2,166.05,1,0.9100313115986381
CAR000247,0,9,3,2,2,145.16,1,0.9100313115986381
CAR003614,0,9,3,2,2,136.82,1,0.9100313115986381
CAR000284,0,9,3,2,2,176.18,1,0.9100313115986381
CAR001776,0,9,3,2,2,146.97,1,0.9100313115986381
CAR002068,0,9,3,2,2,128.31,1,0.9100313115986381
CAR004832,0,9,3,2,2,146.87,1,0.9100313115986381
CAR001088,0,9,3,2,2,131.88,1,0.9100313115986381
CAR001804,0,9,3,2,2,146.42,1,0.9100313115986381
CAR002017,0,9,3,2,2,144.03,1,0.9100313115986381
CAR000799,0,9,3,2,2,163.0,1,0.9100313115986381
CAR001197,0,9,3,2,2,129.39,1,0.9100313115986381
CAR000205,0,9,3,2,2,150.63,1,0.9100313115986381
CAR000431,0,9,3,2,2,131.67000000000002,1,0.9100313115986381
CAR001868,0,9,3,2,2,156.63,1,0.9100313115986381
CAR002421,0,9,3,2,2,138.51,1,0.9100313115986381
CAR001210,0,9,3,2,2,131.72,1,0.9100313115986381
CAR000184,0,9,3,2,2,147.56,1,0.9100313115986381
CAR001057,0,9,3,2,2,163.84,1,0.9100313115986381
CAR004233,0,9,3,2,2,127.48,1,0.9100313115986381
CAR003435,0,9,3,2,2,126.61,1,0.9100313115986381
CAR003523,0,9,3,2,2,122.5,1,0.9100313115986381
CAR004161,0,9,3,2,2,117.53,0,0.9100313115986381
CAR002913,0,9,3,2,2,177.17000000000002,1,0.9100313115986381
CAR001698,0,9,3,2,2,150.84,1,0.9100313115986381
CAR004135,0,9,3,2,2,167.57,1,0.9100313115986381
CAR003462,0,9,3,2,2,143.21,1,0.9100313115986381
CAR001151,0,9,3,2,2,158.42,1,0.9100313115986381
CAR000833,0,9,3,2,2,156.63,1,0.9100313115986381
CAR003143,0,9,3,2,2,136.18,1,0.9100313115986381
CAR002317,0,9,3,2,2,128.79,1,0.9100313115986381
CAR001791,0,9,3,2,0,143.76,1,0.8894574930314394
CAR001945,0,9,3,2,0,151.45,1,0.8894574930314394
CAR003588,0,9,3,2,0,136.37,1,0.8894574930314394
CAR002168,0,9,3,2,0,153.03,1,0.8894574930314394
CAR003290,0,9,3,2,0,162.64,1,0.8894574930314394
CAR003147,0,9,3,2,0,122.19,1,0.8894574930314394
CAR002828,0,9,3,2,0,151.15,1,0.8894574930314394
CAR003324,0,9,3,2,0,105.75,0,0.8894574930314394
CAR002688,0,9,3,2,0,130.08,1,0.8894574930314394
CAR002836,0,9,3,2,0,177.96,1,0.8894574930314394
CAR003079,0,9,3,2,0,140.12,1,0.8894574930314394
CAR003600,0,9,3,2,0,162.97,1,0.8894574930314394
CAR002437,0,9,3,2,0,154.38,1,0.8894574930314394
CAR003318,0,9,3,2,0,168.76,1,0.8894574930314394
CAR002056,0,9,3,2,0,137.67,1,0.8894574930314394
CAR003595,0,9,3,2,0,126.77,1,0.8894574930314394
CAR003731,0,9,3,2,0,130.96,1,0.8894574930314394
CAR003330,0,9,3,2,0,140.39,1,0.8894574930314394
CAR003058,0,9,3,2,0,156.78,1,0.8894574930314394
CAR003131,0,9,3,2,0,136.29,1,0.8894574930314394
CAR001683,0,9,3,2,0,154.7,1,0.8894574930314394
CAR002616,0,9,3,2,0,162.74,1,0.8894574930314394
CAR003155,0,9,3,2,0,166.62,1,0.8894574930314394
CAR002409,0,9,3,2,0,168.51,1,0.8894574930314394
CAR002915,0,9,3,2,0,153.98999999999998,1,0.8894574930314394
CAR001894,0,9,3,2,0,143.10999999999999,1,0.8894574930314394
CAR002586,0,9,3,2,0,140.7,1,0.8894574930314394
CAR001992,0,9,3,2,0,157.53,1,0.8894574930314394
CAR002342,0,9,3,2,0,164.85,1,0.8894574930314394
CAR001612,0,9,3,2,0,171.02,1,0.8894574930314394
CAR002406,0,9,3,2,0,136.68,1,0.8894574930314394
CAR003091,0,9,3,2,0,136.1,1,0.8894574930314394
CAR001602,0,9,3,2,0,159.66,1,0.8894574930314394
CAR001599,0,9,3,2,0,138.03,1,0.8894574930314394
CAR002285,0,9,3,2,0,152.05,1,0.8894574930314394
CAR003184,0,9,3,2,0,186.24,1,0.8894574930314394
CAR002153,0,9,3,2,0,134.23,1,0.8894574930314394
