case_id,activity,timestamp,resource,shift,model_type,supplier_id,priority,duration_h
CAR000005,Paint Shop,2023-07-06 22:00:07.190481,Station_5,Night,Coupe,S101,Normal,14.06
CAR000005,Quality Check,2023-07-07 12:03:31.605858,Station_4,Night,Coupe,S101,Normal,5.73
CAR000005,Rework,2023-07-07 17:47:36.918552,Station_3,Night,Coupe,S101,Normal,12.15
CAR000005,Quality Check,2023-07-08 05:56:52.703974,Station_4,Night,Coupe,S101,Normal,4.19
CAR000005,Delivery Prep,2023-07-08 10:08:31.510765,Station_2,Morning,Coupe,S101,Normal,4.16
CAR000005,Vehicle Delivered,2023-07-08 14:18:11.656279,Station_3,Morning,Coupe,S101,Normal,5.55
CAR000006,Order Created,2023-03-18 07:28:02.631585,Station_2,Afternoon,Electric,S101,High,2.81
CAR000006,Configuration Confirmed,2023-03-18 10:16:51.293568,Station_4,Morning,Electric,S101,High,4.31
CAR000006,Parts Allocated,2023-03-18 14:35:17.958951,Station_4,Morning,Electric,S101,High,20.11
CAR000006,Body Shop,2023-03-19 10:41:39.949573,Station_5,Morning,Electric,S101,High,16.97
CAR000006,Assembly,2023-03-20 03:39:54.348665,Station_3,Night,Electric,S101,High,31.19
CAR000006,Paint Shop,2023-03-21 10:51:14.107993,Station_4,Night,Electric,S101,High,14.92
CAR000006,Quality Check,2023-03-22 01:46:27.237885,Station_3,Afternoon,Electric,S101,High,10.47
CAR000006,Delivery Prep,2023-03-22 12:14:41.266060,Station_4,Morning,Electric,S101,High,8.43
CAR000006,Vehicle Delivered,2023-03-22 20:40:44.175798,Station_1,Afternoon,Electric,S101,High,4.85
CAR000007,Order Created,2023-04-14 15:08:51.859321,Station_3,Afternoon,Coupe,S101,High,3.79
CAR000007,Configuration Confirmed,2023-04-14 18:56:10.797207,Station_1,Morning,Coupe,S101,High,10.2
CAR000007,Parts Allocated,2023-04-15 05:08:23.408708,Station_5,Afternoon,Coupe,S101,High,12.55
CAR000007,Body Shop,2023-04-15 17:41:09.126991,Station_4,Night,Coupe,S101,High,13.2
CAR000007,Assembly,2023-04-16 06:53:11.023613,Station_3,Night,Coupe,S101,High,44.84
CAR000007,Paint Shop,2023-04-18 03:43:32.956304,Station_5,Afternoon,Coupe,S101,High,14.66
CAR000007,Quality Check,2023-04-18 18:23:19.444624,Station_3,Night,Coupe,S101,High,4.74
CAR000007,Delivery Prep,2023-04-18 23:07:31.776520,Station_4,Night,Coupe,S101,High,6.03
CAR000007,Vehicle Delivered,2023-04-19 05:09:05.390142,Station_1,Night,Coupe,S101,High,5.45
CAR000008,Order Created,2023-07-02 04:56:02.428046,Station_3,Morning,Sedan,S104,High,0.5
CAR000008,Configuration Confirmed,2023-07-02 05:26:02.428046,Station_5,Morning,Sedan,S104,High,7.27
CAR000008,Parts Allocated,2023-07-02 12:42:16.575874,Station_3,Morning,Sedan,S104,High,29.68
CAR000008,Body Shop,2023-07-03 18:23:00.441256,Station_4,Morning,Sedan,S104,High,17.64
CAR000008,Assembly,2023-07-04 12:01:09.520828,Station_1,Night,Sedan,S104,High,28.4
CAR000008,Paint Shop,2023-07-05 16:25:23.372327,Station_2,Night,Sedan,S104,High,16.42
CAR000008,Quality Check,2023-07-06 08:50:30.389965,Station_3,Morning,Sedan,S104,High,12.39
CAR000008,Delivery Prep,2023-07-06 21:13:37.538934,Station_2,Afternoon,Sedan,S104,High,5.33
CAR000008,Vehicle Delivered,2023-07-07 02:33:22.579561,Station_1,Night,Sedan,S104,High,5.06
CAR000009,Order Created,2023-09-14 09:45:38.072617,Station_2,Morning,Electric,S101,High,2.05
CAR000009,Configuration Confirmed,2023-09-14 11:48:42.971711,Station_5,Night,Electric,S101,High,3.35
CAR000009,Parts Allocated,2023-09-14 15:09:27.485115,Station_1,Afternoon,Electric,S101,High,17.87
CAR000009,Body Shop,2023-09-15 09:01:54.178029,Station_3,Morning,Electric,S101,High,15.22
CAR000009,Assembly,2023-09-16 00:15:07.169869,Station_4,Night,Electric,S101,High,34.98
CAR000009,Paint Shop,2023-09-17 11:13:48.406809,Station_3,Afternoon,Electric,S101,High,20.99
CAR000009,Quality Check,2023-09-18 08:13:12.899248,Station_2,Morning,Electric,S101,High,4.58
CAR000009,Delivery Prep,2023-09-18 12:47:47.522831,Station_2,Night,Electric,S101,High,5.17
CAR000009,Vehicle Delivered,2023-09-18 17:58:15.639216,Station_3,Afternoon,Electric,S101,High,4.6
CAR000010,Order Created,2023-10-30 04:07:56.903445,Station_4,Morning,Electric,S101,High,3.21
CAR000010,Configuration Confirmed,2023-10-30 07:20:34.338524,Station_3,Afternoon,Electric,S101,High,7.55
CAR000010,Parts Allocated,2023-10-30 14:53:20.990097,Station_3,Night,Electric,S101,High,22.71
CAR000010,Body Shop,2023-10-31 13:36:10.188770,Station_2,Afternoon,Electric,S101,High,15.57
CAR000010,Assembly,2023-11-01 05:10:18.277626,Station_1,Morning,Electric,S101,High,50.25
CAR000010,Paint Shop,2023-11-03 07:25:19.460644,Station_2,Afternoon,Electric,S101,High,15.94
CAR000010,Quality Check,2023-11-03 23:21:27.282221,Station_1,Morning,Electric,S101,High,1.8
CAR000010,Delivery Prep,2023-11-04 01:09:44.149232,Station_5,Morning,Electric,S101,High,5.31
CAR000010,Vehicle Delivered,2023-11-04 06:28:33.619970,Station_3,Morning,Electric,S101,High,6.12
CAR000011,Order Created,2023-10-04 14:43:54.939604,Station_4,Afternoon,Electric,S102,Low,3.03
CAR000011,Configuration Confirmed,2023-10-04 17:45:51.814542,Station_4,Morning,Electric,S102,Low,7.16
CAR000011,Parts Allocated,2023-10-05 00:55:20.741888,Station_4,Morning,Electric,S102,Low,16.75
CAR000011,Body Shop,2023-10-05 17:40:28.982166,Station_4,Afternoon,Electric,S102,Low,21.5
CAR000011,Assembly,2023-10-06 15:10:12.645039,Station_5,Morning,Electric,S102,Low,40.8
CAR000011,Paint Shop,2023-10-08 07:58:09.668090,Station_2,Night,Electric,S102,Low,18.05
CAR000011,Quality Check,2023-10-09 02:01:22.726423,Station_3,Afternoon,Electric,S102,Low,10.1
CAR000011,Rework,2023-10-09 12:07:17.096032,Station_5,Afternoon,Electric,S102,Low,19.56
CAR000011,Quality Check,2023-10-10 07:40:57.056083,Station_2,Night,Electric,S102,Low,8.34
CAR000011,Delivery Prep,2023-10-10 16:01:09.010786,Station_4,Morning,Electric,S102,Low,6.69
CAR000011,Vehicle Delivered,2023-10-10 22:42:26.301332,Station_3,Afternoon,Electric,S102,Low,4.93
CAR000012,Order Created,2023-10-24 02:08:54.917547,Station_3,Night,Electric,S101,High,2.5
CAR000012,Configuration Confirmed,2023-10-24 04:39:00.053872,Station_5,Morning,Electric,S101,High,11.18
CAR000012,Parts Allocated,2023-10-24 15:49:54.950523,Station_2,Night,Electric,S101,High,18.98
CAR000012,Body Shop,2023-10-25 10:48:35.366855,Station_1,Night,Electric,S101,High,17.44
CAR000012,Assembly,2023-10-26 04:15:09.828877,Station_2,Afternoon,Electric,S101,High,43.08
CAR000012,Paint Shop,2023-10-27 23:19:57.554332,Station_2,Afternoon,Electric,S101,High,17.21
CAR000012,Quality Check,2023-10-28 16:32:43.711761,Station_5,Night,Electric,S101,High,5.51
CAR000012,Delivery Prep,2023-10-28 22:03:23.496586,Station_5,Afternoon,Electric,S101,High,5.29
CAR000012,Vehicle Delivered,2023-10-29 03:20:43.978371,Station_5,Night,Electric,S101,High,4.36
CAR000013,Order Created,2023-06-04 13:36:19.636629,Station_1,Night,Sedan,S101,Normal,2.58
CAR000013,Configuration Confirmed,2023-06-04 16:11:12.367512,Station_5,Night,Sedan,S101,Normal,2.64
CAR000013,Parts Allocated,2023-06-04 18:49:25.514103,Station_5,Morning,Sedan,S101,Normal,9.35
CAR000013,Body Shop,2023-06-05 04:10:36.885598,Station_1,Night,Sedan,S101,Normal,15.96
CAR000013,Assembly,2023-06-05 20:08:14.409248,Station_4,Morning,Sedan,S101,Normal,38.09
CAR000013,Paint Shop,2023-06-07 10:13:49.153260,Station_1,Morning,Sedan,S101,Normal,24.09
CAR000013,Quality Check,2023-06-08 10:19:19.337440,Station_1,Morning,Sedan,S101,Normal,6.76
CAR000013,Delivery Prep,2023-06-08 17:04:51.496145,Station_4,Night,Sedan,S101,Normal,5.46
CAR000013,Vehicle Delivered,2023-06-08 22:32:20.004817,Station_2,Night,Sedan,S101,Normal,3.39
CAR000014,Order Created,2023-02-03 11:19:41.987943,Station_5,Night,Coupe,S104,High,1.66
CAR000014,Configuration Confirmed,2023-02-03 12:59:08.668017,Station_2,Afternoon,Coupe,S104,High,8.75
CAR000014,Parts Allocated,2023-02-03 21:44:01.265067,Station_3,Night,Coupe,S104,High,27.89
CAR000014,Body Shop,2023-02-05 01:37:40.456334,Station_4,Afternoon,Coupe,S104,High,26.38
CAR000014,Assembly,2023-02-06 04:00:15.734828,Station_5,Morning,Coupe,S104,High,40.91
CAR000014,Paint Shop,2023-02-07 20:54:54.365462,Station_5,Afternoon,Coupe,S104,High,28.15
CAR000014,Quality Check,2023-02-09 01:03:44.590485,Station_2,Afternoon,Coupe,S104,High,11.54
CAR000014,Delivery Prep,2023-02-09 12:36:25.898797,Station_5,Morning,Coupe,S104,High,5.53
CAR000014,Vehicle Delivered,2023-02-09 18:08:23.235906,Station_5,Morning,Coupe,S104,High,4.45
CAR000015,Order Created,2023-12-12 17:53:51.136377,Station_4,Afternoon,Sedan,S102,High,0.54
CAR000015,Configuration Confirmed,2023-12-12 18:26:08.812415,Station_3,Night,Sedan,S102,High,0.98
CAR000015,Parts Allocated,2023-12-12 19:25:01.169528,Station_2,Afternoon,Sedan,S102,High,19.78
CAR000015,Body Shop,2023-12-13 15:11:54.779828,Station_5,Night,Sedan,S102,High,17.9
CAR000015,Assembly,2023-12-14 09:06:12.488086,Station_4,Afternoon,Sedan,S102,High,27.98
CAR000015,Paint Shop,2023-12-15 13:04:59.642384,Station_1,Afternoon,Sedan,S102,High,21.94
CAR000015,Quality Check,2023-12-16 11:01:10.363287,Station_5,Night,Sedan,S102,High,4.69
CAR000015,Delivery Prep,2023-12-16 15:42:38.237700,Station_1,Afternoon,Sedan,S102,High,4.9
CAR000015,Vehicle Delivered,2023-12-16 20:36:43.578793,Station_5,Morning,Sedan,S102,High,1.54
CAR000016,Order Created,2023-12-21 00:08:18.679052,Station_3,Morning,SUV,S102,High,1.83
CAR000016,Configuration Confirmed,2023-12-21 01:58:13.624211,Station_2,Morning,SUV,S102,High,8.86
CAR000016,Parts Allocated,2023-12-21 10:49:33.517717,Station_1,Night,SUV,S102,High,41.41
CAR000016,Body Shop,2023-12-23 04:14:22.921574,Station_3,Morning,SUV,S102,High,22.8
CAR000016,Assembly,2023-12-24 03:02:09.796444,Station_2,Night,SUV,S102,High,53.52
CAR000016,Paint Shop,2023-12-26 08:33:16.120921,Station_2,Afternoon,SUV,S102,High,15.15
CAR000016,Quality Check,2023-12-26 23:42:16.877957,Station_4,Afternoon,SUV,S102,High,4.81
CAR000016,Rework,2023-12-27 04:30:42.290817,Station_1,Night,SUV,S102,High,5.99
CAR000016,Quality Check,2023-12-27 10:29:53.566720,Station_4,Morning,SUV,S102,High,11.8
CAR000016,Delivery Prep,2023-12-27 22:17:59.669990,Station_5,Morning,SUV,S102,High,4.85
CAR000016,Vehicle Delivered,2023-12-28 03:08:45.963669,Station_1,Afternoon,SUV,S102,High,5.68
CAR000017,Order Created,2023-11-13 02:43:10.819285,Station_1,Night,SUV,S102,Normal,0.5
CAR000017,Configuration Confirmed,2023-11-13 03:13:10.819285,Station_1,Afternoon,SUV,S102,Normal,8.89
CAR000017,Parts Allocated,2023-11-13 12:06:21.976549,Station_3,Afternoon,SUV,S102,Normal,10.83
CAR000017,Body Shop,2023-11-13 22:56:16.635027,Station_1,Night,SUV,S102,Normal,14.53
CAR000017,Assembly,2023-11-14 13:28:02.007864,Station_1,Night,SUV,S102,Normal,36.88
CAR000017,Paint Shop,2023-11-16 02:20:45.977968,Station_5,Morning,SUV,S102,Normal,20.03
CAR000017,Quality Check,2023-11-16 22:22:39.241882,Station_5,Morning,SUV,S102,Normal,8.19
CAR000017,Rework,2023-11-17 06:33:55.762432,Station_1,Afternoon,SUV,S102,Normal,8.65
CAR000017,Quality Check,2023-11-17 15:12:55.055340,Station_1,Afternoon,SUV,S102,Normal,10.49
CAR000017,Delivery Prep,2023-11-18 01:42:24.094366,Station_1,Night,SUV,S102,Normal,4.26
CAR000017,Vehicle Delivered,2023-11-18 05:57:44.947255,Station_2,Morning,SUV,S102,Normal,3.33
CAR000018,Order Created,2023-09-03 02:58:52.296215,Station_1,Afternoon,Electric,S103,Low,1.48
CAR000018,Configuration Confirmed,2023-09-03 04:27:47.812094,Station_4,Afternoon,Electric,S103,Low,10.68
CAR000018,Parts Allocated,2023-09-03 15:08:30.326028,Station_5,Morning,Electric,S103,Low,36.44
CAR000018,Body Shop,2023-09-05 03:34:57.554013,Station_2,Morning,Electric,S103,Low,30.7
CAR000018,Assembly,2023-09-06 10:16:44.194255,Station_4,Night,Electric,S103,Low,32.53
CAR000018,Paint Shop,2023-09-07 18:48:35.064844,Station_2,Afternoon,Electric,S103,Low,17.95
CAR000018,Quality Check,2023-09-08 12:45:21.198250,Station_3,Afternoon,Electric,S103,Low,11.29
CAR000018,Delivery Prep,2023-09-09 00:02:57.474484,Station_2,Night,Electric,S103,Low,10.1
CAR000018,Vehicle Delivered,2023-09-09 10:09:15.134225,Station_4,Morning,Electric,S103,Low,5.5
CAR000019,Order Created,2023-11-11 18:18:21.919037,Station_1,Afternoon,SUV,S103,Normal,2.07
CAR000019,Configuration Confirmed,2023-11-11 20:22:48.660247,Station_2,Afternoon,SUV,S103,Normal,8.38
CAR000019,Parts Allocated,2023-11-12 04:45:51.503787,Station_3,Morning,SUV,S103,Normal,37.42
CAR000019,Body Shop,2023-11-13 18:11:17.687098,Station_1,Night,SUV,S103,Normal,17.39
CAR000019,Assembly,2023-11-14 11:34:25.283580,Station_3,Night,SUV,S103,Normal,35.4
CAR000019,Paint Shop,2023-11-15 22:58:16.538323,Station_4,Afternoon,SUV,S103,Normal,14.55
CAR000019,Quality Check,2023-11-16 13:31:22.570982,Station_3,Morning,SUV,S103,Normal,10.24
CAR000019,Delivery Prep,2023-11-16 23:46:01.447154,Station_5,Night,SUV,S103,Normal,6.94
CAR000019,Vehicle Delivered,2023-11-17 06:42:09.459887,Station_3,Afternoon,SUV,S103,Normal,4.02
CAR000020,Order Created,2023-05-06 22:55:25.751007,Station_2,Afternoon,Coupe,S101,High,0.57
CAR000020,Configuration Confirmed,2023-05-06 23:29:23.031078,Station_2,Morning,Coupe,S101,High,7.43
CAR000020,Parts Allocated,2023-05-07 06:54:54.476580,Station_1,Morning,Coupe,S101,High,16.5
CAR000020,Body Shop,2023-05-07 23:24:44.187050,Station_3,Afternoon,Coupe,S101,High,16.63
CAR000020,Assembly,2023-05-08 16:02:39.211667,Station_2,Night,Coupe,S101,High,37.43
CAR000020,Paint Shop,2023-05-10 05:28:09.310329,Station_2,Night,Coupe,S101,High,20.21
CAR000020,Quality Check,2023-05-11 01:40:59.036262,Station_3,Morning,Coupe,S101,High,9.6
CAR000020,Delivery Prep,2023-05-11 11:17:02.189436,Station_4,Night,Coupe,S101,High,4.43
CAR000020,Vehicle Delivered,2023-05-11 15:42:53.703801,Station_3,Morning,Coupe,S101,High,3.64
CAR000021,Order Created,2023-09-27 03:40:10.579375,Station_1,Night,Coupe,S104,High,2.9
CAR000021,Configuration Confirmed,2023-09-27 06:34:17.287748,Station_4,Morning,Coupe,S104,High,6.06
CAR000021,Parts Allocated,2023-09-27 12:37:54.300598,Station_1,Morning,Coupe,S104,High,11.02
CAR000021,Body Shop,2023-09-27 23:39:11.426842,Station_3,Morning,Coupe,S104,High,26.44
CAR000021,Assembly,2023-09-29 02:05:19.976273,Station_5,Morning,Coupe,S104,High,43.05
CAR000021,Paint Shop,2023-09-30 21:08:31.201273,Station_2,Afternoon,Coupe,S104,High,20.46
CAR000021,Quality Check,2023-10-01 17:36:22.356718,Station_1,Night,Coupe,S104,High,4.55
CAR000021,Delivery Prep,2023-10-01 22:09:39.864219,Station_4,Night,Coupe,S104,High,2.95
CAR000021,Vehicle Delivered,2023-10-02 01:06:53.715299,Station_2,Afternoon,Coupe,S104,High,2.86
CAR000022,Order Created,2023-12-27 01:52:24.885935,Station_3,Morning,Coupe,S104,Low,1.79
CAR000022,Configuration Confirmed,2023-12-27 03:40:02.425683,Station_1,Afternoon,Coupe,S104,Low,1.17
CAR000022,Parts Allocated,2023-12-27 04:50:00.561171,Station_3,Night,Coupe,S104,Low,26.09
CAR000022,Body Shop,2023-12-28 06:55:15.906591,Station_1,Night,Coupe,S104,Low,22.54
CAR000022,Assembly,2023-12-29 05:27:37.601641,Station_1,Afternoon,Coupe,S104,Low,40.01
CAR000022,Paint Shop,2023-12-30 21:28:04.016645,Station_3,Afternoon,Coupe,S104,Low,14.13
CAR000022,Quality Check,2023-12-31 11:36:08.823357,Station_2,Afternoon,Coupe,S104,Low,11.73
CAR000022,Delivery Prep,2023-12-31 23:20:04.198179,Station_4,Afternoon,Coupe,S104,Low,4.48
CAR000022,Vehicle Delivered,2024-01-01 03:48:39.706786,Station_4,Night,Coupe,S104,Low,4.64
CAR000023,Order Created,2023-10-08 05:44:54.357501,Station_3,Afternoon,Coupe,S101,Normal,1.19
CAR000023,Configuration Confirmed,2023-10-08 06:56:01.134640,Station_1,Night,Coupe,S101,Normal,16.35
CAR000023,Parts Allocated,2023-10-08 23:17:05.930814,Station_2,Afternoon,Coupe,S101,Normal,4.67
CAR000023,Body Shop,2023-10-09 03:57:10.488464,Station_2,Afternoon,Coupe,S101,Normal,27.99
CAR000023,Assembly,2023-10-10 07:56:16.635287,Station_2,Morning,Coupe,S101,Normal,51.87
CAR000023,Paint Shop,2023-10-12 11:48:35.608564,Station_3,Morning,Coupe,S101,Normal,19.57
CAR000023,Quality Check,2023-10-13 07:22:47.449374,Station_1,Afternoon,Coupe,S101,Normal,3.9
CAR000023,Rework,2023-10-13 11:17:04.462693,Station_1,Morning,Coupe,S101,Normal,11.11
CAR000023,Quality Check,2023-10-13 22:23:52.838125,Station_4,Afternoon,Coupe,S101,Normal,5.58
CAR000023,Delivery Prep,2023-10-14 03:58:55.451436,Station_4,Night,Coupe,S101,Normal,6.17
CAR000023,Vehicle Delivered,2023-10-14 10:09:18.897906,Station_3,Morning,Coupe,S101,Normal,3.84
CAR000024,Order Created,2023-10-19 19:56:42.960678,Station_2,Morning,Sedan,S101,Normal,2.54
CAR000024,Configuration Confirmed,2023-10-19 22:29:19.500029,Station_4,Afternoon,Sedan,S101,Normal,11.1
CAR000024,Parts Allocated,2023-10-20 09:35:36.646041,Station_3,Morning,Sedan,S101,Normal,20.76
CAR000024,Body Shop,2023-10-21 06:21:03.862674,Station_1,Morning,Sedan,S101,Normal,22.74
CAR000024,Assembly,2023-10-22 05:05:20.967552,Station_1,Night,Sedan,S101,Normal,51.98
CAR000024,Paint Shop,2023-10-24 09:04:24.794370,Station_2,Morning,Sedan,S101,Normal,10.52
CAR000024,Quality Check,2023-10-24 19:35:47.146012,Station_3,Afternoon,Sedan,S101,Normal,0.5
CAR000024,Delivery Prep,2023-10-24 20:05:47.146012,Station_3,Night,Sedan,S101,Normal,8.86
CAR000024,Vehicle Delivered,2023-10-25 04:57:41.015818,Station_5,Afternoon,Sedan,S101,Normal,4.34
CAR000025,Order Created,2023-11-23 06:29:56.499095,Station_1,Afternoon,Sedan,S104,Normal,1.58
CAR000025,Configuration Confirmed,2023-11-23 08:05:01.462605,Station_1,Morning,Sedan,S104,Normal,10.91
CAR000025,Parts Allocated,2023-11-23 18:59:38.302606,Station_4,Afternoon,Sedan,S104,Normal,32.65
CAR000025,Body Shop,2023-11-25 03:38:35.698329,Station_2,Afternoon,Sedan,S104,Normal,17.74
CAR000025,Assembly,2023-11-25 21:23:04.036604,Station_5,Morning,Sedan,S104,Normal,50.73
CAR000025,Paint Shop,2023-11-28 00:06:43.197018,Station_4,Night,Sedan,S104,Normal,15.32
CAR000025,Quality Check,2023-11-28 15:26:07.591187,Station_5,Night,Sedan,S104,Normal,0.5
CAR000025,Delivery Prep,2023-11-28 15:56:07.591187,Station_5,Morning,Sedan,S104,Normal,0.85
CAR000025,Vehicle Delivered,2023-11-28 16:47:22.486249,Station_3,Afternoon,Sedan,S104,Normal,3.61
CAR000026,Order Created,2023-07-26 09:51:11.241177,Station_2,Night,Coupe,S103,Low,0.94
CAR000026,Configuration Confirmed,2023-07-26 10:47:41.053727,Station_2,Afternoon,Coupe,S103,Low,6.46
CAR000026,Parts Allocated,2023-07-26 17:15:21.578477,Station_2,Afternoon,Coupe,S103,Low,52.34
CAR000026,Body Shop,2023-07-28 21:35:56.478691,Station_1,Morning,Coupe,S103,Low,19.06
CAR000026,Assembly,2023-07-29 16:39:44.282414,Station_4,Night,Coupe,S103,Low,41.15
CAR000026,Paint Shop,2023-07-31 09:48:32.875628,Station_5,Morning,Coupe,S103,Low,29.39
CAR000026,Quality Check,2023-08-01 15:11:50.494663,Station_2,Night,Coupe,S103,Low,9.0
CAR000026,Delivery Prep,2023-08-02 00:11:54.007292,Station_3,Morning,Coupe,S103,Low,3.72
CAR000026,Vehicle Delivered,2023-08-02 03:55:07.775409,Station_4,Morning,Coupe,S103,Low,3.37
CAR000027,Order Created,2023-05-02 05:36:09.269486,Station_5,Night,SUV,S103,High,1.5
CAR000027,Configuration Confirmed,2023-05-02 07:06:25.868211,Station_4,Night,SUV,S103,High,7.53
CAR000027,Parts Allocated,2023-05-02 14:37:59.382906,Station_5,Morning,SUV,S103,High,38.08
CAR000027,Body Shop,2023-05-04 04:42:38.120684,Station_1,Afternoon,SUV,S103,High,12.94
CAR000027,Assembly,2023-05-04 17:39:00.241929,Station_3,Afternoon,SUV,S103,High,22.76
CAR000027,Paint Shop,2023-05-05 16:24:40.369779,Station_2,Afternoon,SUV,S103,High,12.26
CAR000027,Quality Check,2023-05-06 04:40:17.214345,Station_1,Night,SUV,S103,High,2.82
CAR000027,Delivery Prep,2023-05-06 07:29:28.080027,Station_4,Night,SUV,S103,High,6.94
CAR000027,Vehicle Delivered,2023-05-06 14:26:04.234384,Station_5,Afternoon,SUV,S103,High,2.47
CAR000028,Order Created,2023-10-12 21:08:32.633173,Station_4,Afternoon,Electric,S101,High,1.73
